N,Naučni naziv vrste,Srpski naziv vrste,Sinonimi,Porodica,Ilustracije,Ilustracije zenke,Silueta,Staniste,Boje,Boje zenke,Glavni tekst,,Dužina tela (cm),Raspon krila (cm),Masa (g),Ishrana,Gnezdarica/Negnezdarica,,Ugrožena (DA/NE)
66,Chlidonias leucopterus,Belokrila čigra,,galebovi (Laridae),belokrila_cigra_1; belokrila_cigra_2,,Galebovi i cigre,vodena stanista,crna; siva; bela,,"Čigra tamnog tela, crnog kljuna i uskih svetlih krila. Gnezdarica istoka Evrope i centralne Azije, a retka gnezdarica i prolaznica u Srbiji. Za staništa odabira veće vodene površine sa plutajućom vegetacijom. Ponašanje i oglašavanje je slično drugim vrstama čigri.",264,23-27,58-67,42-79,"vodeni insekti, sitna riba, punoglavci",Gnezdarica (manje od 10 parova).,Redovna i na seobi.,DA
129,Haliaeetus albicilla,Belorepan,,orlovi i jastrebovi (Accipitridae),belorepan_s; belorepan_l,,Dnevne grabljivice,sume; travnjaci; njive; mesovita stanista; vodena stanista,braon; bela,,"Najkrupnija grabljivica koju možete sresti u Srbiji. Gnezda smešta u plavnim šumama sa starim sastojinama duž otvorenih vodenih površina kao što su velike ravničarske reke i jezera. Odrasle ptice su svetlobraon boje, sa svetlom glavom i upečatljivim belim repom. Stanarica je, dok mlade ptice i lutaju. Zimi se često mogu videti u većem broju kako se hrane lešinama.",366,66-94,178-245,4000-6900,"riba, ptice, sisari, lešine",Gnezdarica (manje od hiljadu parova).,Prisutna tokom cele godine.,NE
113,Ficedula albicollis,Belovrata muharica,,muharice (Muscicapidae),belovrata_muharica_m; belovrata_muharica_z,belovrata_muharica_z; belovrata_muharica_m,Ptice pevacice,sume; mesovita stanista,crna; bela,siva; bela; crna,"Naseljava dobro očuvane listopadne šume. Gnezdi se u dupljama i šupljinama drveća. Mužjaci su lako prepoznatljivi po crnim i belim šarama i beloj ogrlici koja obavija ceo vrat, kao i izraženom belom nadrepku. Kao i ostale vrste muharica uglavnom lovi insekte u letu. U Srbiju dolazi na proleće, a zimu provodi u Africi. Od srodne crnovrate muharice najlakše se razlikuje po beloj ogrlici i izraženijim belim prugama na krilima.",427,"12-13,5",21-24,"10,5-13,5",insekti i drugi beskičmenjaci,Gnezdarica (do 100 hiljada parova).,Redovna i na seobi.,NE
221,Riparia riparia,Bregunica,,laste (Hirundinidae),bregunica,,Laste i ciope,"kamenjari, litice i odseci; vodena stanista",braon; bela; siva; crna,,"Formira kolonije u zemljanim i peščanim odsecima blizu vode, koje mogu brojati i nekoliko hiljada parova. Od drugih lasta izdvaja je beo vrat sa tamnim okovratnikom i kraći, tek blago račvast rep. Najveći deo populacije gnezdi se uz Dunav i druge velike reke. Zimu provodi u Africi.",282,12,26-29,13-14,beskičmenjaci,Gnezdarica (do 100 hiljada parova).,Redovna i na seobi.,NE
197,Phylloscopus trochilus,Brezov zviždak,,grmuše (Sylviidae),brezov_zvizdak,,Ptice pevacice,sume; sikare i zbunjaci; mesovita stanista; naselja,zuta; zelena,,"Tek nedavno po prvi put zabeležen na gnežđenju. Iako ređi od običnog i šumskog zviždaka, redovan je na seobi u svim delovima zemlje. Za razlikovanje po izgledu od običnog zviždaka potrebno je više iskustva i uočiti sitne detalje. Najpouzdaniji karakter je pesma.",262,"10,5-11,5",16-22,7-12,"insekti, paukovi, bobice i voće",Gnezdarica,Redovna i na seobi.,NE
226,Sitta europaea,Brgljez,,brgljezi (Sittidae),brgljez,,Ptice pevacice,sume; naselja,crna; narandzasta; siva; bela; plava,,"Upadljiv i živahan stanovnik drveća širom Srbije, gde šeta i skakuće duž stabla i grana. Prepoznatljiv je po crnom povezu i dugom kljunu nalik detliću, kao i oglašavanju koje se može čuti tokom cele godine. Gnezdi se u postojećim dupljama i drugim šupljinama, čilji otvor mogu i suziti blatom i drugim materijalom do odgovarajućeg. ",332,14,22-27,20-25,"insekti, orašice, semenje",Gnezdarica (preko 100 hiljada parova).,Prisutna tokom cele godine.,NE
174,Panurus biarmicus,Brkata senica,,brbljivice (Timaliidae),brkata_senica_m; brkata_senica_z,,Ptice pevacice,vodena stanista,bez; crna; narandzasta; siva; bela,,"Retka i malobrojna pevačica u Srbiji. Veoma je upečatljiva po riđoj obojenosti, uz veoma dug, riđ rep. Odrasli mužjaci su lako prepoznatljivi po sivoj glavi na kojoj se ističu široke crne šare poput brkova. Gnezdarica je širokih pojaseva trske duž bara, močvara, ritova, jezera, ribnjaka i drugih akumulacija. ",310,"14-15,5",16-18,12-18,"insekti, paukovi, semenke",Gnezdarica (manje od hiljadu parova).,Prisutna tokom cele godine.,NE
45,Bubo bubo,Buljina,,prave sove (Strigidae),buljina,,Sove,"mesovita stanista; kamenjari, litice i odseci",crna; bez; braon; bela,,"Najveća sova Evrope. Aktivna je u sumrak i noću. Kod nas naseljava brdsko-planinske delove zemlje i Deliblatsku peščaru. Parovi cele godine borave na svojoj teritoriji. Gnežđenje počinje tokom februara kada mužjak obeležava teritoriju prodornim i dubokim hukom. Gnezdo je smešteno na stenama ili na zemlji. Mladunci poleću tokom juna i jula. Ugrožavaju je krivolovom, trovanjem i kolizijom sa strujnim vodovima.",411,58-71,160-188,1500-4200,sisari i ptice,Gnezdarica (manje od hiljadu parova).,Prisutna tokom cele godine.,NE
46,Bubulcus ibis,Čaplja govedarka,,čaplje (Ardeidae),caplja_govedarka,,Capljolike ptice,travnjaci; vodena stanista,bela; zuta,,Ekstremno retka čaplja u Srbiji. Pojedinačni primerci i parovi redovni jedino na području Potamišja i Labudovog okna. Beleži se tokom svih godišnjih doba osim zime. Gnezdi se kolonijalno skupa sa drugim čapljama. Primećuje se uz stada krupne stoke usled čega je i dobila narodni naziv. Često stoji na istaknutim tačkama. Nije plašljiva.,336,45-50,82-95,300-400,"insekti, crvi, gmizavci, žabe i dr",Gnezdarica (manje od 10 parova).,Posmatrana tokom seobe i lutanja.,NE
134,Ixobrychus minutus,Čapljica,,čaplje (Ardeidae),capljica_m; capljica_z,capljica_z; capljica_m,Capljolike ptice,vodena stanista,braon; crna; bez,,"Najmanja vrsta iz porodice čaplji koja se sreće u Srbiji. Naseljava prirodne bare i močvare, ali i ribnjake, kanale i druge vodene površine sa razvijenim pojasom trske i rogoza u koje smešta gnezda. Povučena, retko izlazi na otvorenu vodu. Prepoznatljiva po beličastim poljima na crnim krilima i svetlo riđim grudima i stomaku. Selica je i zimu provodi u Africi.",362,33-38,49-58,59-150,"riba, insekti, vodozemci",Gnezdarica (do 10 hiljada parova).,Redovna i na seobi.,NE
250,Troglodytes troglodytes,Carić,,carići (Troglodytidae),caric,,Ptice pevacice,sume; sikare i zbunjaci; mesovita stanista; naselja,siva; bez; braon,,"Ovu malu smeđu pticu prepoznajemo po uzdignutom repu, poput zastavice, i sitnim, gustim prugama po perju. Sreće se u šumskim, brdsko-planinskim krajevima, nisko na žbunju i uz samo tlo, a naročito u dolinama potoka. Gnezdi se skrovito u rastinju, panjevima i drugde blizu tla. Prisutan je tokom cele godine u Srbiji.",316,9-10,13-17,7-12,"insekti, paukovi",Gnezdarica (oko 100 hiljada parova).,Prisutna tokom cele godine.,NE
84,Corvus monedula,Čavka,,vrane (Corvidae),cavka,,Vranolike ptice,travnjaci; njive; mesovita stanista; naselja,crna; siva,,"Najmanja vrsta iz porodice vrana u Srbiji. Prepoznatljiva je i po sedom potiljku i svetlom oku. Načinom života vezana za čoveka i njegove objekte. Društvena ptica koja živi u jatima. Hrani se mahom na otvorenim područjima sa niskom vegetacijom poput pašnjaka i njiva. Gnezdi se pod krovovima kuća, na crkvenim tornjevima, farmama i slično. Jednom oformljeni parovi ostaju doživotno zajedno. Nešto brojnija u krajevima sa ispašom krupne stoke.",442,33-34,67-74,136-265,"insekti, mlade ptice i jaja, voće, semenke i otpaci",Gnezdarica (preko 100 hiljada parova).,Prisutna tokom cele godine.,NE
18,Mareca strepera,Čegrtuša,,plovke (Anatidae),cegrtusa_m; cegrtusa_z,cegrtusa_z; cegrtusa_m,Patkolike ptice,vodena stanista,crna; braon; siva; bela,,"Prepoznatljiva plovka smeđe sivih tonova leđa i crne trtice. Boja mužjaka nije tako jarka i upadljiva kao u ostalih vrsta pataka. Gnezdi se tokom aprila i maja, a parovi se formiraju već u jesen prethodne godine. Često se meša u jatima sa drugim plovušama, posebno liskom. Gnezdi se na tlu u gustoj vegetaciji u blizini vode. Najbrojnija na području Labudovog okna i okoline.",375,46-58,84-95,550-1000,vodeno rastinje,Gnezdarica (manje od hiljadu parova).,Prisutna tokom cele godine.,NE
56,Carduelis carduelis,Češljugar,Štiglić,zebe (Fringillidae),cesljugar_m,,Ptice pevacice,sikare i zbunjaci; travnjaci; njive; mesovita stanista; naselja,crna; crvena; zuta; siva; bela,,"Jarkocrvene i žute šare čine ih lako prepoznatljivim, ali i prijatnim za oko. Ime su dobili po biljci češljugi koju posećuju radi ishrane semenjem. Obično ih viđamo u jatima van perioda gnežđenja. Česta vrsta otvorenih staništa širom Srbije. Ugrožen ilegalnim hvatanjem i držanjem u kavezima.",292,12,21-25,14-19,semenje i insekti,Gnezdarica (preko 100 hiljada parova).,Prisutna tokom cele godine.,NE
57,Carduelis spinus,Čižak,,zebe (Fringillidae),cizak_m; cizak_z,cizak_z; cizak_m,Ptice pevacice,sume; sikare i zbunjaci; mesovita stanista; naselja,crna; zuta; zelena; bela,,"Sitna, veoma živahna i agilna vrsta ptice. Vezan je za područja sa drvećem sa sitnim semenom kojim se hrani. Kod nas se u periodu gnežđenja sreće u visokoplaninskim četinarskim šumama. Tokom seobe i zimovanja manja jata se sreću u svim predelima. Tada se viđa i u naseljima, uglavnom na četinarima i brezama. ",309,12,20-23,12-18,semenje i insekti,Gnezdarica (manje od hiljadu parova).,Prisutna tokom cele godine.,NE
67,Chlidonias niger,Crna čigra,,galebovi (Laridae),crna_cigra_1; crna_cigra_2,,Galebovi i cigre,vodena stanista,crna; siva; bela,,"Po obliku i ponasanju liči na ogromnu lastu koja u brzim i nepredvidljivim manevrima leti iznad površine vode u potrazi za hranom. Na Evropskom kontinentu boravi od maja do septembra, a zimu provodi u tropskom delu Afrike. Vrlo retka gnezdarica Srbije. Odrasle ptice u gnezdećem periodu od belokrile čigre razlikujemo po boji donje strane krila i leđa. Gnezdo smešta na vodenom rastinju tik iznad nivoa vode. ",409,23-28,57-65,60-68,"vodeni insekti, sitna riba, punoglavci, žabe",Gnezdarica (manje od 10 parova).,Redovna i na seobi.,DA
26,Apus apus,Crna čiopa,,čiope (Apodidae),crna_ciopa,,Laste i ciope,naselja,crna; siva; bela,,"U pogledu načina, brzine i lakoće letenja virtuoz među pticama. Toliko je prilagođena životu na otvorenom prostoru da se čak i pari i spava na nebu. Gnezdi se kolonijalno, a lovi u jatima. U periodu razmnožavanja naseljava ubrana gradska jezgra pronalazeći visoke zgrade starije gradnje u čijim se pukotinama i gnezdi. Prisutna kod nas samo tokom prolećnih i letnjih meseci. Zimuje na jugu afričkog kontinenta.",410,16-17,42-48,36-50,"leteći insekti, paukovi",Gnezdarica (do 10 hiljada parova).,Redovna i na seobi.,NE
193,Phoenicurus ochruros,Crna crvenrepka,,muharice (Muscicapidae),crna_crvenrepka_m; crna_crvenrepka_z,crna_crvenrepka_z; crna_crvenrepka_m,Ptice pevacice,"kamenjari, litice i odseci; naselja",narandzasta; crna; siva; bela; crvena,braon; siva; bez,"Danas veoma česta u naseljima, dok je izvorno stanovnik proređenih šuma sa kamenjarima i liticama u brdsko-planinskim krajevima. Gnezda smešta u pukotinama kamenja, stena, zgrada, kamenih ograda i drugih objekata. Odrasli mužjaci se od obične crvenorepe reazlikuju po tamnom, gotovo crnom stomaku i glavi. U letu se na krilima odgore može opaziti bela šara, u osnovi sekundarnih letnih pera i crna pruga na repu. ",413,"13-15,5",23-26,14-20,"insekti, paukovi, gliste, bobice, semenje",Gnezdarica (do 100 hiljada parova).,"Redovna na seobi, u manjem broju i zimuje.",NE
157,Milvus migrans,Crna lunja,,orlovi i jastrebovi (Accipitridae),crna_lunja,,Dnevne grabljivice,sume; mesovita stanista; vodena stanista,crna; siva; braon,,"Retka gnezdarica Srbije. Stanovnik plavnih šuma duž velikih ravničarskh reka, bara i ribnjaka. Tamna grabljivica, srednje veličine, prepoznatljiva po blago usečenom repu, crnim ivicama krila i tamnosivoj glavi. Selica je i zimu provodi u Africi. Gnezda pravi na drveću i često se u njima mogu naći razni materijali i otpad koji ptice skupljaju i donose. ",354,48-58,130-155,630-930,"lešine i životinjski ostaci, sitni sisari, ptice, vodozemci, gmizavci, insekti",Gnezdarica (manje od 100 parova).,Redovna i na seobi.,DA
70,Ciconia nigra,Crna roda,,rode (Ciconiidae),crna_roda,,Capljolike ptice,sume; vodena stanista,crna; bela,,"Manje poznata, plaha rođaka bele rode. Kljun i noge su jarkocrvene boje dok su leđa, krila i vrat crni. Sreće se od marta do novembra. Gnezda svija na stoletnim stablima često u blizini plitke vode gde se i hrani. Najbrojnija populacija smeštena je na području Gornjeg Podunavlja. Ugrožena je radovima u šumarstvu.",314,95-100,144-155,3000,"riba, vodozemci, insekti, puževi i dr",Gnezdarica (manje od hiljadu parova).,"Redovna i na seobi, izuzetno i prezimljava.",NE
96,Dryocopus martius,Crna žuna,,detlići (Picidae),crna_zuna_s; crna_zuna_l,,Detlici,sume; mesovita stanista,crna; crvena,,"Najkrupniji detlić Evrope. Crna boja perja prekriva čitavo telo, izuzev gornjeg dela glave koji je crven. Mužjak ima bujniju crvenu krunu, koja kod zenke postoji samo na temenu. Oglašavanje je prodorno i vrlo tipično. Naseljava šumska staništa u niziji i pobrđu. Gnezdi se u rupama u drveću od marta do jula. Viđa se često i na tlu gde raskopava mravinjake.",357,45-55,64-84,250-370,mravi i larve insekata,Gnezdarica (do 10 hiljada parova).,Prisutna tokom cele godine.,NE
29,Clanga clanga,Crni orao,,orlovi i jastrebovi (Accipitridae),crni_orao_s; crni_orao_l,,Dnevne grabljivice,sume; travnjaci; vodena stanista,crna; braon; bela,,"Globalno ranjiva vrsta orla. Gnezdi se na severoistoku Evrope, dok se u Srbiji retki, malobrojni primerci sreću gotovo isključivo zimi. Viđa se uvek u blizini vodenih staništa. Redovan jedino na području Labudovog okna.",219,59-71,"1,55-1,8 m",1500-2500,sitniji sisari,Ne gnezdi se u Srbiji.,"Redak, na zimovanju i seobi.",DA
245,Tringa erythropus,Crni sprudnik,,šljukarice (Scolopacidae),crni_sprudnik,,Sljukarice i barske koke,vodena stanista,siva; crna; bela,,"U Srbiji se javlja na seobi, na plitkim vodama i vlažnim travnjacima. Retko ćete ga sresti u tamnom, gnezdećem izdanju. Zato ga od sličnog, crvenonog sprudnika razlikujemo po dužem kljunu. ",189,29-31,61-67,140-200,"insekti, rakovi, sitna riba, crvi",Ne gnezdi se u Srbiji.,Redovan na seobi.,NE
235,Sylvia atricapilla,Crnoglava grmuša,,grmuše (Sylviidae),crnoglava_grmusa_m; crnoglava_grmusa_z,crnoglava_grmusa_z; crnoglava_grmusa_m,Ptice pevacice,sume; sikare i zbunjaci; mesovita stanista; naselja,crna; siva; bela,siva; braon; bez,"Kada jednom prepoznate melodičnu pesmu ove grmuše, otkrićete i da je među najčešćim, ali i najređe viđenim pticama kod nas. Peva skrivena u žbunju i niskom drveću, gde svija gnezda. Zimuje u podasaharskoj Africi.",212,13,20-23,21,insekti i bobice,Gnezdarica (preko milion parova).,"Redovna na seobi, sporadično i zimuje.",NE
103,Emberiza melanocephala,Crnoglava strnadica,,strnadice (Emberizidae),crnoglava_strnadica_m; crnoglava_strnadica_z,crnoglava_strnadica_z; crnoglava_strnadica_m,Ptice pevacice,travnjaci; njive; mesovita stanista,crna; zuta; braon; bela,,"Letnji gost toplijih predela istočne i južne Srbije. Poslednje decenije lagano naseljava i Vojvodinu gde se može naći na više lokaliteta južnog Banata i Srema. Mužjak je jarkih crno-žutih tonova, a ženka je kao i kod ostalih strnadica kamuflažno obojena. Gnezdo svija na tlu ili žbunu. Zimu provodi u Indiji.",308,"15,5-17,5",26-30,23-33,"semenje, insekti",Gnezdarica (do 10 hiljada parova).,Redovna i na seobi.,NE
223,Saxicola torquatus,Crnoglava travarka,,muharice (Muscicapidae),crnoglava_travarka_m; crnoglava_travarka_z,crnoglava_travarka_z; crnoglava_travarka_m,Ptice pevacice,travnjaci; njive; mesovita stanista,crna; braon; narandzasta; bela,braon; narandzasta; bela; crna,"Čavrljava, živahna ptica vrhova trava i žbunova otvorenijih predela. Od obične travarke razlikujemo je po odsustvu jasne bele ""obrve"". Gnezda dobro skrivaju u busenju trave ili žbunićima. Zimu provode u Africi.",210,"12,5",18-21,13-17,"beskičmenjaci, semenje, voće",Gnezdarica (do 100 hiljada parova).,"Redovna na seobi, zimuje u malom broju.",NE
143,Larus melanocephalus,Crnoglavi galeb,,galebovi (Laridae),crnoglavi_galeb,,Galebovi i cigre,vodena stanista,crna; siva; bela,,"Retka i malobrojna gnezdarica Srbije, sa jedinim stalnim gnezdilištem na adama Palićkog jezera. Kolonijalna gnezdarica i često obrazuje mešovite kolonije sa rečnim galebovima. Prepoznatljiv je po crnoj glavi kod odraslih ptica tokom leta i jarkocrvenom kljunu sa karakterističnom crnom mrljom i belim vrhovima krila, dok je zimi glava bele boje sa tamnim šarama. ",363,36-38,92-100,230-280,"insekti, riba, lešine",Gnezdarica (oko sto parova).,"Redak na seobi, izuzetno i zimuje.",DA
100,Emberiza cirlus,Crnogrla strnadica,,strnadice (Emberizidae),crnogrla_strnadica_m; crnogrla_strnadica_z,crnogrla_strnadica_z; crnogrla_strnadica_m,Ptice pevacice,sikare i zbunjaci; mesovita stanista; naselja,crna; zuta; braon; siva,,"Karakteristična vrsta brdskih i planinskih naselja razbijenog tipa. Brojnija na prisojnim padinama. Mužjak je upadljivije obojen od ženke. Za razliku od većine drugh strnadica ne gradi gnezdo na tlu, nego na žbunu. Van perioda gnežđenja okuplja se u manja jata ili pojedinačno sa drugim strnadicama traga za hranom. Pesma mužjaka je jednolična i lako prepoznatljiva.",366,15-16,22-25,21-27,"insekti, semenje",Gnezdarica (do 100 hiljada parova).,"Redovna na seobi, ponekad i prezimljava.",NE
124,Gavia arctica,Crnogrli morski gnjurac,,norovi (Gaviidae),crnogrli_morski_gnjurac,,Patkolike ptice,vodena stanista,crna; bela; siva,,"Redak zimski gost jezera i velikih reka u Srbiji. Zimsko ruho im je prilično jednolično, sa crnom leđnom, a belom trbušnom stranom. Oblik tela i položaj nogu morskih gnjuraca je posebno prilagođen plivanju i ronjenju, dok su na kopnu veoma nespretni i otežano se kreću. Za razliku od srodnog riđovratog gnjurca ima ravan kljun sa nešto širom osnovom. ",351,58-73,110-130,2300-3400,riba,Ne gnezdi se u Srbiji.,Redak na zimovanju.,DA
51,Calidris alpina,Crnotrba sprutka,,šljukarice (Scolopacidae),crnotrba_sprutka_g; crnotrba_sprutka_ng,,Sljukarice i barske koke,vodena stanista,crna; braon; siva; bela,,"Šljukarica veličine čvorka, dužeg, na dole povijenog kljuna. Prolaznica koja se češće viđa tokom jesenje seobe. Crn trbuh ima samo u periodu razmnožavanja, a gnezdi se na području arktičke tundre. Viđa se najčešće u plitkoj priobalnoj vodi i blatu na stajaćim vodama gde dugim kljunom vešto pretražuje mulj u potrazi za hranom. Nije retka ni u jatu drugih vrsta šljukarica.",373,16-22,33-40,33-85,"insekti, puževi, crvi",Ne gnezdi se u Srbiji.,Prisutna na seobi i zimovanju.,NE
114,Ficedula hypoleuca,Crnovrata muharica,,muharice (Muscicapidae),crnovrata_muharica_m; crnovrata_muharica_z,crnovrata_muharica_z; crnovrata_muharica_m,Ptice pevacice,sume; mesovita stanista,crna; bela,siva; bela; crna,"Za razliku od drugih muharica, u Srbiji se sreće samo na seobi iz Afrike, gde provodi zimu. Uprkos posmatranju iz perioda gnežđenja, ono do sada nije potvrđeno. Gnezda pravi u dupljama drveća, a nastanjuje otvorene šume i mozaična staništa. Kao i ostale muharice, izuzetno je živahna ptica koja uglavnom lovi insekte u letu. Za razliku od belovrate muharice, sa kojom se može i ukrštati, mužjaci imaju bele ivice repa i upadljivo manju belu šaru na čelu.",454,13,21-24,12-15,"insekti, zrnevlje i voće",Ne gnezdi se u Srbiji.,Prisutna na seobi.,NE
209,Podiceps nigricollis,Crnovrati gnjurac,,gnjurci (Podicipedidae),crnovrati_gnjurac_g; crnovrati_gnjurac_ng,,Patkolike ptice,vodena stanista,crna; braon; zuta,,"Nešto krupniji ali i znatno ređi od malog gnjurca. Ima duži, crn vrat u gnezdećem periodu, po kom je i dobio ime. Gnezdi se u rastinju priobalja stajaćih voda, dok van perioda gnežđenja posećuje i reke i druga vodena staništa. U ovom periodu obratiti pažnju na moguće prisustvo veoma sličnog, ušatog gnjurca. Razlikujemo ih samo po detaljima, poput belog vrha kljuna.",367,28-34,56-60,250-350,"insekti, rakovi, sitna riba",Gnezdarica (manje od hiljadu parova).,"Redovna na seobi, zimuje u malom broju.",DA
